domain,survivor_id,survivor_name,survivor_reason,loser_id,loser_name,loser_people
abmi-engineering.com,69187,ABMI Engineering Company,most people (5),62871,ABMI Engineering Company,1
aboutamazon.com,56281,Amazon Kuiper,most people (2),68185,Amazon Robotics,1
abwtec.com,27353,"ABW Technologies, Inc.",has Company Research,68938,"ABW Technologies, Inc.",1
acdllc.com,11836,"ACD, LLC",most people (4),67039,ACD,1
aceclearwater.com,1512,Ace Clearwater Enterprises,has Company Research,66812,ACE Clearwater Enterprises,1
acehardware.com,5498,ACE HARDWARE,most people (4),24274,Ace Hardware Corporation,2
acme-aero.com,187,Acme Aerospace Inc,has Company Research,67054,Acme Aerospace,2
acmfg.com,14527,Advanced Custom Manufacturing,most people (1),31081,Plastic Reinforcements,1
aconlabs.com,256,ACON Laboratories,most people (3),66184,ACON Laboratories,1
acraaerospace.com,53009,ACRA Aerospace,has Company Research,12036,"NOVARIA GROUP, LLC",4
acraaerospace.com,53009,ACRA Aerospace,has Company Research,67119,Acra Aerospace,1
acronaviation.com,67480,Acron Aviation,most people (4),62549,L3Harris Commercial Aviation,3
adafruit.com,30191,Adafruit,most people (1),62238,Adafruit Industries,1
adagiomedical.com,12235,Adagio Medical,has Company Research,23631,ADAGIO MEDICAL INC,1
adient-aerospace.com,67186,Adient Aerospace,has Company Research,12233,Adient Aerospace,13
adient-aerospace.com,67186,Adient Aerospace,has Company Research,23630,"Adient Aerospace, LLC",1
adient-aerospace.com,67186,Adient Aerospace,has Company Research,66384,Adient Aerospace,1
advanced-precision.com,9076,Advanced Precision Machining,most people (2),66828,Advanced Precision Machining,1
advantest.com,14218,ADVANTEST CORPORATION,most people (60),67353,Advantest,4
aehiinc.com,68615,AEHI Inc,most people (5),12131,AEHI,3
aeriumanalytics.com,4834,Aerium Analytics,most people (1),66278,AERIUM Analytics,1
aero.org,1133,The Aerospace Corporation,has Company Research,67025,The Aerospace,2
aerodyn-global.com,355,Aerodyn,has Company Research,52992,Aerodyn Engineering,2
aerometals.aero,68918,"Aerometals, Inc.",has Company Research,26618,Aerometals,7
aeroprecisionusa.com,13295,Aero Precision,most people (9),67222,Aero Precision,1
aeroproducts.com,4012,Aero Products,has Company Research,17371,Aero Products Component Services,4
aerosimulation.com,52913,Aero Simulation,has Company Research,36214,"Aero Simulation, Inc.",1
aerospacefab.com,50893,Aerospace Fabrication and Materials,has Company Research,27419,Aerospace Fabrication & Materials,1
aerospecialties.com,21904,AERO Specialties,has Company Research,12540,AERO Specialties Inc,1
aerotecheng.org,36221,AeroTech Engineering,has Company Research,67550,Aero-Tech Engineering,1
aerovacalloyforge.com,12008,"Aero-Vac Alloys & Forge, Inc.",most people (6),66503,"Aero-Vac Alloys & Forge, Inc.",1
aethercomm.com,26608,Aethercomm,has Company Research,52996,Frontgrade Aethercomm,1
aevex.com,5526,AEVEX Aerospace,has Company Research,67292,AEVEX Aerospace,0
aevex.com,5526,AEVEX Aerospace,has Company Research,68343,AEVEX Aerospace,9
aeye.ai,29990,AEYE,most people (1),67597,"AEye, Inc.",1
afcind.com,15933,AFC Industries,most people (1),23003,Oregon Bolt,1
afctool.com,15897,"FC Precision, Inc.",most people (2),1916,Afctool,1
afepower.com,12143,Advanced Flow Engineering,most people (1),49998,"aFe POWER - advanced FLOW engineering, Inc.",1
afgsim.com,28149,afgsim.com,has Company Research,66738,"Avenger Flight Group, LLC",1
agile.space,36145,Agile Space Propulsion,has Company Research,69372,Agile Space Industries,2
agilent.com,7968,Agilent Technologies,most people (87),66275,Agilent Technologies,2
agilent.com,7968,Agilent Technologies,most people (87),67314,Agilent,6
agmach.com,11033,A & G Machine,has Company Research,28510,A&G Machine Inc.,3
aimsmetrology.com,3992,AIMS Metrology,most people (1),17325,AIMS Metrology,1
airborne-sys.com,13692,Airborne Systems,has Company Research,67302,Airborne Systems,1
airbus.com,31226,Airbus,has Company Research,28552,airbus.com,15
airbus.com,31226,Airbus,has Company Research,37555,Airbus US,7
airbus.com,31226,Airbus,has Company Research,60994,Airbus,2
airbus.com,31226,Airbus,has Company Research,67330,Airbus,12
airbus.com,31226,Airbus,has Company Research,68821,Airbus,1
airbusus.com,66645,Airbus Defense and Space,has Company Research,1618,Airbus US Space & Defense,7
airbusus.com,66645,Airbus Defense and Space,has Company Research,66327,"Airbus US Space & Defense, Inc.",2
airbusus.com,66645,Airbus Defense and Space,has Company Research,66712,Airbus US Space & Defense,2
airbusus.com,66645,Airbus Defense and Space,has Company Research,67170,Airbus US Space & Defense,8
aircraftspecialties.aero,50836,Aircraft Specialties Services Inc,has Company Research,50883,Aircraft Specialties,1
airindustriesgroup.com,1534,Air Industries Group,has Company Research,67116,Air Industries Group,2
airpartner.com,32725,Air Partner Group,most people (1),62763,Air Partner,1
airtechintl.com,12010,Airtechintl,most people (5),67283,Airtech International,1
airtools.com,15862,Texas Pneumatic Tools,most people (1),67658,Texas Pneumatic Tools,1
airtransport.cc,33194,"Air Transport International, Inc.",most people (1),49704,"Air Transport International, Inc.",1
airturbinetools.com,1697,Air Turbine Technology Inc,most people (2),15826,Air Turbine Tools,1
airworthy.aero,1527,Airworthy,most people (3),67091,Airworthy,1
aitechsystems.com,37601,AiTech Systems,has Company Research,67209,Aitech,2
akebonobrakes.com,164,Akebonobrakes,most people (1),14296,Akebono Brake Corporation,1
akebonobrakes.com,164,Akebonobrakes,most people (1),51752,Akebono Brake Corporation,1
alaskancopper.com,11751,Alaskan Copper & Brass,most people (1),66500,Alaskan Copper & Brass Co.,1
albemarle.com,2676,Albemarle,most people (4),50864,Albemarle Corporation,2
albint.com,4060,Albany International,most people (1),68853,Albany International Corp.,1
aligntech.com,8150,Align Technology Inc,most people (12),67327,Align Technology,1
alliancelaundry.com,66962,Alliance Laundry Systems,most people (2),68311,"Alliance Laundry Systems, Llc",1
alliancellc.com,13019,"Alliance Machine Systems International, LLC",most people (2),24303,"Alliance Machine Systems International, LLC",1
alliancellc.com,13019,"Alliance Machine Systems International, LLC",most people (2),68857,"Alliance Machine Systems International, LLC",1
alliedsystems.com,67230,Allied Systems,most people (6),13473,Allied Systems,5
allient.com,31486,Allient Inc.,most people (20),68766,Allient Inc.,1
allisontransmission.com,398,Allison Transmission,has Company Research,68522,Allison Transmission,20
alloymetalsco.com,11572,Alloy Metals Co.,most people (2),23492,Alloy Metals Co.,1
alphia.com,10322,Alphia,most people (1),66714,Alphia,1
altec.com,19906,Altec,most people (2),6546,Altec,1
alumac.my,13048,alumac.com.my,most people (1),66810,alumac.com.my,1
aluminumprecision.com,13889,"Aluminum Precision Products, Inc.",most people (3),53004,Aluminum Precision Products,1
aluminumprecision.com,13889,"Aluminum Precision Products, Inc.",most people (3),66811,"Aluminum Precision Products, Inc.",1
alutiiq.com,36241,"Alutiiq, LLC",most people (2),62613,"Alutiiq, LLC",2
amazon.com,12412,Amazon Robotics,most people (10),20240,MANINAM LLC,1
ambrell.com,10952,Ambrell Ltd,most people (2),22964,Ambrell Induction Heating Solutions,1
amcfab.com,9233,"AMC Fabrication,",has Company Research,66185,precision machining service,1
amesburytruth.com,43855,AmesburyTruth,most people (3),67460,AmesburyTruth,1
ametek.com,1400,"Pacific Design Technologies,",has Company Research,22961,Ametek Precision Motion Contrl,2
amgeneral.com,49703,AM General LLC,has Company Research,496,AM General LLC,3
amgeneral.com,49703,AM General LLC,has Company Research,67500,AM General LLC,1
amot.com,289,AMOT,has Company Research,62901,AMOT Controls,1
amprius.com,2503,Amprius,most people (1),63895,"Amprius Technologies, Inc.",1
ams-corp.com,48250,Analysis and Measurement Services (AMS) Corporation,most people (1),67589,Analysis and Measurement Services (AMS) Corporation,1
amsafe.com,5531,AmSafe,has Company Research,69159,AmSafe,1
amsdnm.com,8221,ADVANCED MACHINING,most people (2),23359,Property of AMSD,1
amys.com,9965,Amy's Kitchen,most people (5),66630,Amy's Kitchen,1
amzmfg.com,36249,AMZ Manufacturing Corp.,most people (1),68734,AMZ Manufacturing Corp.,1
analogic.com,5839,Analogic,most people (8),67237,Analogic,3
andritz.com,11677,Andritz,most people (15),19530,ANDRITZ,1
anl.gov,65320,Argonne National Laboratory,most people (6),66550,Argonne National Laboratory,5
anton-paar.com,63268,Anton Paar,most people (1),63892,Anton Paar,1
anysignal.com,68502,AnySignal,has Company Research,69272,AnySignal,1
apexspace.com,69267,Apex - Spacecraft Manufacturing,has Company Research,29946,Apex Space,5
aphysci.com,52959,Applied Physical Sciences Corp (APS),has Company Research,33216,Applied Physical Sciences Corp (APS),2
apiworldwide.com,65363,Aerospace Products International,has Company Research,66687,International Aerospace Products,1
apple.com,11989,Apple Inc.,most people (13),62720,Apple,1
apple.com,11989,Apple Inc.,most people (13),66622,Apple Inc.,2
appliedcomposites.com,14075,Applied Composites,has Company Research,68561,Applied Composites,3
appliedfluidpower.com,17369,Applied Fluid Power,most people (1),66771,Applied Fluid Power,1
appliedmaterials.com,11684,Applied Materials,has Company Research,68801,Applied Materials,1
appliedmaterials.com,11684,Applied Materials,has Company Research,69087,Applied Materials,44
aps.com,10271,Arizona Public Service - APS,has Company Research,62711,Arizona Public Service - APS,2
aptera.us,58367,Aptera Motors,most people (3),10127,Aptera,2
aptiv.com,162,Aptiv PLC,most people (2),14291,Aptiv,1
ara-inc.com,28850,ara-inc.com,has Company Research,68044,"Antenna Research Associates, Inc.",5
ara.com,52938,Ara,has Company Research,13457,"Applied Research Associates, Inc",2
arburg.com,62912,ARBURG GmbH + KG,most people (1),63946,ARBURG GmbH + Co KG,1
arcadia.com,31122,Arcadia Power,most people (1),64503,Arcadia,1
arcfield.ca,4851,Arcfield,has Company Research,18216,Arcfield Canada,1
archer.com,13527,Archer Aviation Inc.,has Company Research,66643,Archer,4
arevonenergy.com,34542,"Arevon Energy, Inc.",most people (11),63286,Arevon,5
argonmedical.com,19228,"Argon Medical Devices, Inc.",has Company Research,5861,Argon Medical Devices,1
arista.com,47463,Arista Networks Inc,most people (6),68840,Arista Networks Inc,1
arka.org,34446,"ARKA Group, LP",has Company Research,27993,ARKA,1
armorworks.com,67128,ArmorWorks,most people (7),493,ArmorWorks,3
armscor.com,12476,Armscor,has Company Research,67799,Arms Corporation of the Philippines,1
arrowheadproducts.net,14195,Arrowhead Products,most people (27),69101,Arrowhead Products,16
artisanmfgco.com,31700,Artisan Chef Manufacturing Co.,most people (1),35130,Artisan Chef Manufacturing Co.,1
arwoodmachine.com,28487,arwoodmachine.com,has Company Research,52950,Arwood Machine Corporation,1
asc-aero.com,36219,"Aerospace Systems & Components, Inc.",has Company Research,67556,"Aerospace Systems & Components, Inc.",1
ascdrives.com,1124,ASC,most people (1),15351,The Hannon Company,1
ascentaerospace.com,52983,Ascent Aerospace,has Company Research,27851,ascentaerospace.com,1
ascenteceng.com,13420,Ascentec Engineering,most people (14),65939,"Ascentec Engineering, LLC",2
ascenteceng.com,13420,Ascentec Engineering,most people (14),67194,Ascentec Engineering,2
ascentmro.com,30941,Ascent Aviation Services,most people (1),68761,Ascent Aviation Services,1
aseptico.com,13213,Aseptico,most people (5),67066,Aseptico,2
asirobots.com,30952,Autonomous Solution,most people (2),68053,"Autonomous solutions, INC",1
